127.0.0.1 - - [07/Jul/2021:21:55:11 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:21:44 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:22:38 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5145
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:23:35 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:23:46 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:24:41 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5157
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:25:29 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5162
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:25:52 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:25:53 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:25:54 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:25:54 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:25:55 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:25:55 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:25:56 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:25:56 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:25:56 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:25:57 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:26:19 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5182
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:26:40 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5194
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:38:57 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5284
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:39:22 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5284
0:0:0:0:0:0:0:1 - - [07/Jul/2021:23:39:29 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5284
